10000
10000
1

1000,1000,0,50,1,0,0,0,
1000,1600,0,50,2,-1,0,1,
1600,1000,0,50,2,-1,1,1,
1600,1600,0,50,2,-1,2,1,

1000,9000,0,50,1,2,0,0,
1000,8400,0,50,2,-1,0,1,
1600,9000,0,50,2,-1,2,1,
1600,8400,0,50,2,-1,1,1,

9000,1000,0,50,1,3,0,0,
8400,1000,0,50,2,-1,0,1,
9000,1600,0,50,2,-1,1,1,
8400,1600,0,50,2,-1,2,1,

9000,9000,0,50,1,1,0,0,
8400,9000,0,50,2,-1,0,1,
9000,8400,0,50,2,-1,1,1,
8400,8400,0,50,2,-1,2,1,

2000,2000,0,50,2,-1,1,2,
8000,2000,0,50,2,-1,1,2,
2000,8000,0,50,2,-1,1,2,
8000,8000,0,50,2,-1,1,2,

3000,3000,0,50,2,-1,1,3,
6000,3000,0,50,2,-1,1,3,
3000,6000,0,50,2,-1,1,3,
6000,6000,0,50,2,-1,1,3,
